
SB0 SB40 SB35 MeanRec HarMeanRec Bnow
169.979 67.9916 59.4927 0.0708517 0.0497479 93.453 
CV Recruit
1.35957 
Alternative 1 Alternative  Stock: ai20
Catch ai20
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
Catch ai20
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2020  0 39.4686 41.9846 3.205 3.205 3.205 3.205 4.66294e-14 
2021  0 39.4686 41.9846 1.656 1.656 1.656 1.656 1.86968e-07 
2022  0 39.4686 41.9846 2.243 2.243 2.243 2.243 2.69005e-08 
2023  0 39.4686 41.9846 2.243 2.243 2.243 2.243 2.31098e-07 
2024  0 39.4686 41.9846 19 19 19 19 9.00471e-07 
2025  0 39.4686 41.9846 19 19 19 19 3.25545e-06 
2026  0 39.4686 41.9846 19 19 19 19 4.32419e-06 
2027  0 39.4686 41.9846 19 19 19 19 4.74177e-06 
2028  0 39.4686 41.9846 19 19 19 19 4.91243e-06 
2029  0 39.4686 41.9846 19 19 19 19 4.89877e-06 
2030  0 39.4686 41.9846 19 19 19 19 4.85245e-06 
2031  0 39.4686 41.9846 19 19 19 19 4.81027e-06 
2032  0 39.4686 41.9846 19 19 19 19 4.92199e-06 
2033  0 39.4686 41.9846 19 19 19 19 4.92379e-06 
2034  0 39.4686 41.9846 13.8128 58.467 62.8139 124.514 34.5504 

Spawning_Biomass ai20
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2020 169.979 67.9916 59.4927 82.0091 82.0091 82.0091 82.0091 1.32161e-12 
2021 169.979 67.9916 59.4927 82.0592 82.0595 82.0598 82.0613 0.00084056 
2022 169.979 67.9916 59.4927 81.6662 81.6715 81.6777 81.7103 0.017963 
2023 169.979 67.9916 59.4927 83.0563 83.2236 83.431 84.512 0.599567 
2024 169.979 67.9916 59.4927 79.2803 81.9605 84.9765 101.034 8.90908 
2025 169.979 67.9916 59.4927 70.2928 79.6026 86.1767 123.754 20.5451 
2026 169.979 67.9916 59.4927 61.6345 80.9727 90.0448 152.551 32.0838 
2027 169.979 67.9916 59.4927 54.7434 84.81 95.018 171.651 39.5953 
2028 169.979 67.9916 59.4927 49.5085 88.6864 100.025 184.351 46.3642 
2029 169.979 67.9916 59.4927 45.5254 93.6234 104.681 203.976 52.4828 
2030 169.979 67.9916 59.4927 45.8483 96.47 108.672 208.902 56.1929 
2031 169.979 67.9916 59.4927 43.689 100.793 111.803 214.431 58.2126 
2032 169.979 67.9916 59.4927 41.7235 102.749 114.265 218.968 58.9379 
2033 169.979 67.9916 59.4927 40.3399 105.301 115.676 223.155 59.5415 
2034 169.979 67.9916 59.4927 40.8265 98.3633 106.362 204.123 51.9612 

Fishing_mortalityai20
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2020  0 0.272039 0.334037 0.0172015 0.0172015 0.0172015 0.0172015 1.59595e-16 
2021  0 0.272039 0.334037 0.00889418 0.00893864 0.00893152 0.00894418 2.02906e-05 
2022  0 0.272039 0.334037 0.0120749 0.0122456 0.0122187 0.0122788 7.89563e-05 
2023  0 0.272039 0.334037 0.0118235 0.0122936 0.0122257 0.0124037 0.000218101 
2024  0 0.272039 0.334037 0.094804 0.106761 0.105071 0.109752 0.00526848 
2025  0 0.272039 0.334037 0.0820306 0.109838 0.106456 0.119293 0.0121426 
2026  0 0.272039 0.334037 0.0644799 0.108815 0.10507 0.131805 0.0207384 
2027  0 0.272039 0.334037 0.0519406 0.104741 0.104067 0.149395 0.0295529 
2028  0 0.272039 0.334037 0.0464249 0.0997446 0.103175 0.17104 0.0381987 
2029  0 0.272039 0.334037 0.0431951 0.0947974 0.102052 0.188266 0.044582 
2030  0 0.272039 0.334037 0.0400501 0.0901217 0.101065 0.196678 0.049704 
2031  0 0.272039 0.334037 0.039419 0.087675 0.100404 0.199234 0.0546644 
2032  0 0.272039 0.334037 0.0387839 0.0848918 0.0999368 0.208961 0.0594588 
2033  0 0.272039 0.334037 0.0377351 0.0825325 0.0995214 0.213979 0.0624596 
2034  0 0.272039 0.334037 0.157608 0.272039 0.253119 0.272039 0.04797 

Total_Biomassai20
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2020 568.948 333.648 312.05 282.589 282.589 282.589 282.589 2.84217e-13 
2021 568.948 333.648 312.05 279.249 285.13 292.783 332.578 21.8663 
2022 568.948 333.648 312.05 275.382 295.114 308.525 389.245 41.5438 
2023 568.948 333.648 312.05 269.256 310.983 330.375 459.795 68.3256 
2024 568.948 333.648 312.05 264.631 332.612 357.129 538.686 93.3688 
2025 568.948 333.648 312.05 244.423 340.942 369.714 589.413 118.416 
2026 568.948 333.648 312.05 229.98 349.309 384.152 648.475 142.673 
2027 568.948 333.648 312.05 218.004 366.98 398.566 696.058 160.168 
2028 568.948 333.648 312.05 210.07 380.745 410.786 716.264 172.911 
2029 568.948 333.648 312.05 203.322 387.96 421.464 741.065 180.685 
2030 568.948 333.648 312.05 199.709 394.427 428.882 746.436 185.431 
2031 568.948 333.648 312.05 192.355 403.554 434.516 778.762 188.306 
2032 568.948 333.648 312.05 190.502 412.932 439.112 790.466 187.891 
2033 568.948 333.648 312.05 200.614 414.946 442.435 796.509 187.199 
2034 568.948 333.648 312.05 204.713 414.916 445.834 793.263 185.342 
Alternative 3 Alternative  Stock: ai20
Catch ai20
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2020  0 39.4686 41.9846 3.205 3.205 3.205 3.205 4.66294e-14 
2021  0 39.4686 41.9846 1.656 1.656 1.656 1.656 1.86968e-07 
2022  0 39.4686 41.9846 2.243 2.243 2.243 2.243 2.69005e-08 
2023  0 39.4686 41.9846 2.243 2.243 2.243 2.243 2.31098e-07 
2024  0 39.4686 41.9846 19 19 19 19 9.00471e-07 
2025  0 39.4686 41.9846 19 19 19 19 3.25545e-06 
2026  0 39.4686 41.9846 19 19 19 19 4.32419e-06 
2027  0 39.4686 41.9846 19 19 19 19 4.74177e-06 
2028  0 39.4686 41.9846 19 19 19 19 4.91243e-06 
2029  0 39.4686 41.9846 19 19 19 19 4.89877e-06 
2030  0 39.4686 41.9846 19 19 19 19 4.85245e-06 
2031  0 39.4686 41.9846 19 19 19 19 4.81027e-06 
2032  0 39.4686 41.9846 19 19 19 19 4.92199e-06 
2033  0 39.4686 41.9846 19 19 19 19 4.92379e-06 
2034  0 39.4686 41.9846 1.9109 4.94069 5.43114 10.5303 2.76319 

Spawning_Biomass ai20
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2020 169.979 67.9916 59.4927 82.0091 82.0091 82.0091 82.0091 1.32161e-12 
2021 169.979 67.9916 59.4927 82.0592 82.0595 82.0598 82.0613 0.00084056 
2022 169.979 67.9916 59.4927 81.6662 81.6715 81.6777 81.7103 0.017963 
2023 169.979 67.9916 59.4927 83.0563 83.2236 83.431 84.512 0.599567 
2024 169.979 67.9916 59.4927 79.2803 81.9605 84.9765 101.034 8.90908 
2025 169.979 67.9916 59.4927 70.2928 79.6026 86.1767 123.754 20.5451 
2026 169.979 67.9916 59.4927 61.6345 80.9727 90.0448 152.551 32.0838 
2027 169.979 67.9916 59.4927 54.7434 84.81 95.018 171.651 39.5953 
2028 169.979 67.9916 59.4927 49.5085 88.6864 100.025 184.351 46.3642 
2029 169.979 67.9916 59.4927 45.5254 93.6234 104.681 203.976 52.4828 
2030 169.979 67.9916 59.4927 45.8483 96.47 108.672 208.902 56.1929 
2031 169.979 67.9916 59.4927 43.689 100.793 111.803 214.431 58.2126 
2032 169.979 67.9916 59.4927 41.7235 102.749 114.265 218.968 58.9379 
2033 169.979 67.9916 59.4927 40.3399 105.301 115.676 223.155 59.5415 
2034 169.979 67.9916 59.4927 42.8504 109.474 119.333 230.106 59.1612 

Fishing_mortalityai20
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2020  0 0.272039 0.334037 0.0172015 0.0172015 0.0172015 0.0172015 1.59595e-16 
2021  0 0.272039 0.334037 0.00889418 0.00893864 0.00893152 0.00894418 2.02906e-05 
2022  0 0.272039 0.334037 0.0120749 0.0122456 0.0122187 0.0122788 7.89563e-05 
2023  0 0.272039 0.334037 0.0118235 0.0122936 0.0122257 0.0124037 0.000218101 
2024  0 0.272039 0.334037 0.094804 0.106761 0.105071 0.109752 0.00526848 
2025  0 0.272039 0.334037 0.0820306 0.109838 0.106456 0.119293 0.0121426 
2026  0 0.272039 0.334037 0.0644799 0.108815 0.10507 0.131805 0.0207384 
2027  0 0.272039 0.334037 0.0519406 0.104741 0.104067 0.149395 0.0295529 
2028  0 0.272039 0.334037 0.0464249 0.0997446 0.103175 0.17104 0.0381987 
2029  0 0.272039 0.334037 0.0431951 0.0947974 0.102052 0.188266 0.044582 
2030  0 0.272039 0.334037 0.0400501 0.0901217 0.101065 0.196678 0.049704 
2031  0 0.272039 0.334037 0.039419 0.087675 0.100404 0.199234 0.0546644 
2032  0 0.272039 0.334037 0.0387839 0.0848918 0.0999368 0.208961 0.0594588 
2033  0 0.272039 0.334037 0.0377351 0.0825325 0.0995214 0.213979 0.0624596 
2034  0 0.272039 0.334037 0.0207545 0.0207545 0.0207545 0.0207545 5.20417e-17 

Total_Biomassai20
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2020 568.948 333.648 312.05 282.589 282.589 282.589 282.589 2.84217e-13 
2021 568.948 333.648 312.05 279.249 285.13 292.783 332.578 21.8663 
2022 568.948 333.648 312.05 275.382 295.114 308.525 389.245 41.5438 
2023 568.948 333.648 312.05 269.256 310.983 330.375 459.795 68.3256 
2024 568.948 333.648 312.05 264.631 332.612 357.129 538.686 93.3688 
2025 568.948 333.648 312.05 244.423 340.942 369.714 589.413 118.416 
2026 568.948 333.648 312.05 229.98 349.309 384.152 648.475 142.673 
2027 568.948 333.648 312.05 218.004 366.98 398.566 696.058 160.168 
2028 568.948 333.648 312.05 210.07 380.745 410.786 716.264 172.911 
2029 568.948 333.648 312.05 203.322 387.96 421.464 741.065 180.685 
2030 568.948 333.648 312.05 199.709 394.427 428.882 746.436 185.431 
2031 568.948 333.648 312.05 192.355 403.554 434.516 778.762 188.306 
2032 568.948 333.648 312.05 190.502 412.932 439.112 790.466 187.891 
2033 568.948 333.648 312.05 200.614 414.946 442.435 796.509 187.199 
2034 568.948 333.648 312.05 204.713 414.916 445.834 793.263 185.342 
Alternative 4 Alternative  Stock: ai20
Catch ai20
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2020  0 39.4686 41.9846 3.205 3.205 3.205 3.205 4.66294e-14 
2021  0 39.4686 41.9846 1.656 1.656 1.656 1.656 1.86968e-07 
2022  0 39.4686 41.9846 2.243 2.243 2.243 2.243 2.69005e-08 
2023  0 39.4686 41.9846 2.243 2.243 2.243 2.243 2.31098e-07 
2024  0 39.4686 41.9846 19 19 19 19 9.00471e-07 
2025  0 39.4686 41.9846 19 19 19 19 3.25545e-06 
2026  0 39.4686 41.9846 19 19 19 19 4.32419e-06 
2027  0 39.4686 41.9846 19 19 19 19 4.74177e-06 
2028  0 39.4686 41.9846 19 19 19 19 4.91243e-06 
2029  0 39.4686 41.9846 19 19 19 19 4.89877e-06 
2030  0 39.4686 41.9846 19 19 19 19 4.85245e-06 
2031  0 39.4686 41.9846 19 19 19 19 4.81027e-06 
2032  0 39.4686 41.9846 19 19 19 19 4.92199e-06 
2033  0 39.4686 41.9846 19 19 19 19 4.92379e-06 
2034  0 39.4686 41.9846 5.69701 14.7465 16.0955 31.3547 8.36209 

Spawning_Biomass ai20
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2020 169.979 67.9916 59.4927 82.0091 82.0091 82.0091 82.0091 1.32161e-12 
2021 169.979 67.9916 59.4927 82.0592 82.0595 82.0598 82.0613 0.00084056 
2022 169.979 67.9916 59.4927 81.6662 81.6715 81.6777 81.7103 0.017963 
2023 169.979 67.9916 59.4927 83.0563 83.2236 83.431 84.512 0.599567 
2024 169.979 67.9916 59.4927 79.2803 81.9605 84.9765 101.034 8.90908 
2025 169.979 67.9916 59.4927 70.2928 79.6026 86.1767 123.754 20.5451 
2026 169.979 67.9916 59.4927 61.6345 80.9727 90.0448 152.551 32.0838 
2027 169.979 67.9916 59.4927 54.7434 84.81 95.018 171.651 39.5953 
2028 169.979 67.9916 59.4927 49.5085 88.6864 100.025 184.351 46.3642 
2029 169.979 67.9916 59.4927 45.5254 93.6234 104.681 203.976 52.4828 
2030 169.979 67.9916 59.4927 45.8483 96.47 108.672 208.902 56.1929 
2031 169.979 67.9916 59.4927 43.689 100.793 111.803 214.431 58.2126 
2032 169.979 67.9916 59.4927 41.7235 102.749 114.265 218.968 58.9379 
2033 169.979 67.9916 59.4927 40.3399 105.301 115.676 223.155 59.5415 
2034 169.979 67.9916 59.4927 42.1158 107.571 116.993 225.082 57.9306 

Fishing_mortalityai20
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2020  0 0.272039 0.334037 0.0172015 0.0172015 0.0172015 0.0172015 1.59595e-16 
2021  0 0.272039 0.334037 0.00889418 0.00893864 0.00893152 0.00894418 2.02906e-05 
2022  0 0.272039 0.334037 0.0120749 0.0122456 0.0122187 0.0122788 7.89563e-05 
2023  0 0.272039 0.334037 0.0118235 0.0122936 0.0122257 0.0124037 0.000218101 
2024  0 0.272039 0.334037 0.094804 0.106761 0.105071 0.109752 0.00526848 
2025  0 0.272039 0.334037 0.0820306 0.109838 0.106456 0.119293 0.0121426 
2026  0 0.272039 0.334037 0.0644799 0.108815 0.10507 0.131805 0.0207384 
2027  0 0.272039 0.334037 0.0519406 0.104741 0.104067 0.149395 0.0295529 
2028  0 0.272039 0.334037 0.0464249 0.0997446 0.103175 0.17104 0.0381987 
2029  0 0.272039 0.334037 0.0431951 0.0947974 0.102052 0.188266 0.044582 
2030  0 0.272039 0.334037 0.0400501 0.0901217 0.101065 0.196678 0.049704 
2031  0 0.272039 0.334037 0.039419 0.087675 0.100404 0.199234 0.0546644 
2032  0 0.272039 0.334037 0.0387839 0.0848918 0.0999368 0.208961 0.0594588 
2033  0 0.272039 0.334037 0.0377351 0.0825325 0.0995214 0.213979 0.0624596 
2034  0 0.272039 0.334037 0.0628887 0.0628887 0.061568 0.0628887 0.00901723 

Total_Biomassai20
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2020 568.948 333.648 312.05 282.589 282.589 282.589 282.589 2.84217e-13 
2021 568.948 333.648 312.05 279.249 285.13 292.783 332.578 21.8663 
2022 568.948 333.648 312.05 275.382 295.114 308.525 389.245 41.5438 
2023 568.948 333.648 312.05 269.256 310.983 330.375 459.795 68.3256 
2024 568.948 333.648 312.05 264.631 332.612 357.129 538.686 93.3688 
2025 568.948 333.648 312.05 244.423 340.942 369.714 589.413 118.416 
2026 568.948 333.648 312.05 229.98 349.309 384.152 648.475 142.673 
2027 568.948 333.648 312.05 218.004 366.98 398.566 696.058 160.168 
2028 568.948 333.648 312.05 210.07 380.745 410.786 716.264 172.911 
2029 568.948 333.648 312.05 203.322 387.96 421.464 741.065 180.685 
2030 568.948 333.648 312.05 199.709 394.427 428.882 746.436 185.431 
2031 568.948 333.648 312.05 192.355 403.554 434.516 778.762 188.306 
2032 568.948 333.648 312.05 190.502 412.932 439.112 790.466 187.891 
2033 568.948 333.648 312.05 200.614 414.946 442.435 796.509 187.199 
2034 568.948 333.648 312.05 204.713 414.916 445.834 793.263 185.342 
Alternative 5 Alternative  Stock: ai20
Catch ai20
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2020  0 39.4686 41.9846 3.205 3.205 3.205 3.205 4.66294e-14 
2021  0 39.4686 41.9846 1.656 1.656 1.656 1.656 1.86968e-07 
2022  0 39.4686 41.9846 2.243 2.243 2.243 2.243 2.69005e-08 
2023  0 39.4686 41.9846 2.243 2.243 2.243 2.243 2.31098e-07 
2024  0 39.4686 41.9846 19 19 19 19 9.00471e-07 
2025  0 39.4686 41.9846 19 19 19 19 3.25545e-06 
2026  0 39.4686 41.9846 19 19 19 19 4.32419e-06 
2027  0 39.4686 41.9846 19 19 19 19 4.74177e-06 
2028  0 39.4686 41.9846 19 19 19 19 4.91243e-06 
2029  0 39.4686 41.9846 19 19 19 19 4.89877e-06 
2030  0 39.4686 41.9846 19 19 19 19 4.85245e-06 
2031  0 39.4686 41.9846 19 19 19 19 4.81027e-06 
2032  0 39.4686 41.9846 19 19 19 19 4.92199e-06 
2033  0 39.4686 41.9846 19 19 19 19 4.92379e-06 
2034  0 39.4686 41.9846 0 0 0 0 0 

Spawning_Biomass ai20
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2020 169.979 67.9916 59.4927 82.0091 82.0091 82.0091 82.0091 1.32161e-12 
2021 169.979 67.9916 59.4927 82.0592 82.0595 82.0598 82.0613 0.00084056 
2022 169.979 67.9916 59.4927 81.6662 81.6715 81.6777 81.7103 0.017963 
2023 169.979 67.9916 59.4927 83.0563 83.2236 83.431 84.512 0.599567 
2024 169.979 67.9916 59.4927 79.2803 81.9605 84.9765 101.034 8.90908 
2025 169.979 67.9916 59.4927 70.2928 79.6026 86.1767 123.754 20.5451 
2026 169.979 67.9916 59.4927 61.6345 80.9727 90.0448 152.551 32.0838 
2027 169.979 67.9916 59.4927 54.7434 84.81 95.018 171.651 39.5953 
2028 169.979 67.9916 59.4927 49.5085 88.6864 100.025 184.351 46.3642 
2029 169.979 67.9916 59.4927 45.5254 93.6234 104.681 203.976 52.4828 
2030 169.979 67.9916 59.4927 45.8483 96.47 108.672 208.902 56.1929 
2031 169.979 67.9916 59.4927 43.689 100.793 111.803 214.431 58.2126 
2032 169.979 67.9916 59.4927 41.7235 102.749 114.265 218.968 58.9379 
2033 169.979 67.9916 59.4927 40.3399 105.301 115.676 223.155 59.5415 
2034 169.979 67.9916 59.4927 43.2333 110.425 120.512 232.187 59.7658 

Fishing_mortalityai20
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2020  0 0.272039 0.334037 0.0172015 0.0172015 0.0172015 0.0172015 1.59595e-16 
2021  0 0.272039 0.334037 0.00889418 0.00893864 0.00893152 0.00894418 2.02906e-05 
2022  0 0.272039 0.334037 0.0120749 0.0122456 0.0122187 0.0122788 7.89563e-05 
2023  0 0.272039 0.334037 0.0118235 0.0122936 0.0122257 0.0124037 0.000218101 
2024  0 0.272039 0.334037 0.094804 0.106761 0.105071 0.109752 0.00526848 
2025  0 0.272039 0.334037 0.0820306 0.109838 0.106456 0.119293 0.0121426 
2026  0 0.272039 0.334037 0.0644799 0.108815 0.10507 0.131805 0.0207384 
2027  0 0.272039 0.334037 0.0519406 0.104741 0.104067 0.149395 0.0295529 
2028  0 0.272039 0.334037 0.0464249 0.0997446 0.103175 0.17104 0.0381987 
2029  0 0.272039 0.334037 0.0431951 0.0947974 0.102052 0.188266 0.044582 
2030  0 0.272039 0.334037 0.0400501 0.0901217 0.101065 0.196678 0.049704 
2031  0 0.272039 0.334037 0.039419 0.087675 0.100404 0.199234 0.0546644 
2032  0 0.272039 0.334037 0.0387839 0.0848918 0.0999368 0.208961 0.0594588 
2033  0 0.272039 0.334037 0.0377351 0.0825325 0.0995214 0.213979 0.0624596 
2034  0 0.272039 0.334037 0 0 0 0 0 

Total_Biomassai20
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2020 568.948 333.648 312.05 282.589 282.589 282.589 282.589 2.84217e-13 
2021 568.948 333.648 312.05 279.249 285.13 292.783 332.578 21.8663 
2022 568.948 333.648 312.05 275.382 295.114 308.525 389.245 41.5438 
2023 568.948 333.648 312.05 269.256 310.983 330.375 459.795 68.3256 
2024 568.948 333.648 312.05 264.631 332.612 357.129 538.686 93.3688 
2025 568.948 333.648 312.05 244.423 340.942 369.714 589.413 118.416 
2026 568.948 333.648 312.05 229.98 349.309 384.152 648.475 142.673 
2027 568.948 333.648 312.05 218.004 366.98 398.566 696.058 160.168 
2028 568.948 333.648 312.05 210.07 380.745 410.786 716.264 172.911 
2029 568.948 333.648 312.05 203.322 387.96 421.464 741.065 180.685 
2030 568.948 333.648 312.05 199.709 394.427 428.882 746.436 185.431 
2031 568.948 333.648 312.05 192.355 403.554 434.516 778.762 188.306 
2032 568.948 333.648 312.05 190.502 412.932 439.112 790.466 187.891 
2033 568.948 333.648 312.05 200.614 414.946 442.435 796.509 187.199 
2034 568.948 333.648 312.05 204.713 414.916 445.834 793.263 185.342 
Alternative 6 Alternative  Stock: ai20
Catch ai20
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2020  0 39.4686 41.9846 3.205 3.205 3.205 3.205 4.66294e-14 
2021  0 39.4686 41.9846 54.0359 54.0739 54.1234 54.3807 0.141398 
2022  0 39.4686 41.9846 34.4677 34.6027 34.7154 35.3087 0.333716 
2023  0 39.4686 41.9846 26.1296 26.5745 26.9319 28.8587 1.12644 
2024  0 39.4686 41.9846 21.8943 23.9188 25.8819 37.2954 5.37465 
2025  0 39.4686 41.9846 18.4813 24.2511 28.0127 48.5521 10.7198 
2026  0 39.4686 41.9846 15.9924 27.3932 32.0922 62.9833 16.5321 
2027  0 39.4686 41.9846 13.9892 30.8338 35.9603 74.3335 20.3027 
2028  0 39.4686 41.9846 12.9177 33.5323 38.6683 79.4648 22.3671 
2029  0 39.4686 41.9846 13.3494 34.8416 40.1313 81.9683 23.3739 
2030  0 39.4686 41.9846 13.33 35.5381 40.8825 83.7504 23.7657 
2031  0 39.4686 41.9846 12.9108 35.7837 40.9952 83.8899 23.6266 
2032  0 39.4686 41.9846 12.8748 36.5646 40.8459 82.3575 22.9687 
2033  0 39.4686 41.9846 13.1653 35.2718 40.3896 82.7104 22.6635 
